Concert ID,Date,Venue,City,State,Artists,Has Setlist
173,2002-11-22,XL Center,Hartford,CT,"The Other Ones (headliner), Robert Hunter (opener)",True
174,2002-12-03,XL Center,Hartford,CT,"Guns (festival_performer), Roses (festival_performer)",True
175,2002-12-13,Madison Square Garden,New York,NY,Tom Petty & the Heartbreakers & Jackson Browne (headliner),False
176,2002-12-16,Schottenstein Center,Columbus,OH,Bruce Springsteen & the E Street Band (headliner),False
177,2002-12-20,Madison Square Garden,New York,NY,Dave Matthews Band (headliner),True
178,2003-03-17,Great South Bay Music Festival,Oakdale,NY,"Dave Matthews (festival_performer), Tim Reynolds (festival_performer)",False
179,2003-04-25,Quinnipiac University,Hamden,CT,Guster (headliner),True
18,1996-05-01,Mid-Hudson Civic Center,Poughkeepsie,NY,Bob Dylan (headliner),True
180,2003-04-30,Nassau Coliseum,Uniondale,NY,Pearl Jam (headliner),True
181,2003-05-20,Madison Square Garden,New York,NY,"Red Hot Chile Peppers (headliner), Queens of the Stone Age (opener)",False
182,2003-07-15,Giants Stadium,East Rutherford,NJ,Bruce Springsteen & the E Street Band (headliner),False
183,2003-07-17,Giants Stadium,East Rutherford,NJ,Bruce Springsteen & the E Street Band (headliner),False
184,2003-07-21,Giants Stadium,East Rutherford,NJ,Bruce Springsteen & the E Street Band (headliner),False
185,2003-07-24,Giants Stadium,East Rutherford,NJ,Bruce Springsteen & the E Street Band (headliner),False
186,2003-07-27,Giants Stadium,East Rutherford,NJ,Bruce Springsteen & the E Street Band (headliner),False
187,2003-03-02,Foxwoods Resort Casino,Mashantucket,CT,"Huey Lewis (festival_performer), the News (festival_performer)",False
188,2003-08-08,Giants Stadium,East Rutherford,NJ,Bon Jovi (headliner),True
189,2003-08-09,PNC Bank Arts Center,Holmdel,NJ,Tom Petty & the Heartbreakers & Bob Dylan (headliner),False
19,1996-06-08,Jones Beach Theater,Wantagh,NY,"Bob Seger & the Silver Bullet Band (headliner), Bone Pony (opener)",False
