Concert ID,Date,Venue,City,State,Festival Name,Headliners,Openers,Other Artists,Total Artists,Has Setlist
126,2001-05-26,Trump Marina,Atlantic City,NJ,,Lynyrd Skynyrd,,,1,False
1260,2025-06-14,Jones Beach Theater,Wantagh,NY,,Keith Urban,,,1,True
1261,2025-06-18,Beacon Theatre,New York,NY,,Paul Simon,,,1,True
1262,2025-06-20,MVP Arena,Albany,NY,,Chris Stapleton,,,1,True
1263,2025-06-21,Saratoga Performing Arts Center,Saratoga Springs,NY,Multi-Artist Show,,,Mumford & Sons,1,True
1264,2025-06-25,City Winery,New York,NY,,Benmont Tench,,,1,True
1265,2025-07-11,Beacon Theatre,New York,NY,,Vince Gill,,,1,True
1266,2025-07-12,Madison Square Garden,New York,NY,,Weird Al,,,1,True
1267,2025-07-18,Bridgeport,Bridgeport,CT,,Brad Paisley,,,1,True
1268,2025-07-19,MetLife Stadium,East Rutherford,NJ,,Zach Bryan,,,1,True
1269,2025-07-25,Madison Square Garden,New York,NY,,Chris Stapleton,,,1,True
127,2001-06-07,NYCB Theatre at Westbury,Westbury,NY,Multi-Artist Show,,,"Charlie Daniels Band, Dickey Betts Band; .38 Special",2,False
1270,2025-08-01,Jones Beach Theater,Wantagh,NY,Outlaw Festival,,,Bob Dylan; Willie Nelson,2,True
1271,2025-08-02,Caramoor Center for Music and the Arts,Katonah,NY,Multi-Artist Show,,,Lyle Lovett; His Large Band,2,True
1272,2025-08-03,Tilles Center,Brookville,NY,,Avett Brothers,,,1,True
1273,2025-08-08,Capitol Theatre,Port Chester,NY,,Avett Brothers,,,1,True
1274,2025-08-09,Forest Hills Stadium,Forest Hills,NY,Multi-Artist Show,,,Mumford & Sons,1,True
1275,2025-08-10,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,,,The Doobie Brothers; Coral Reefer Band,2,True
1276,2025-10-10,Highlands Concert Series,Amenia,NY,,Third Eye Blind,Dinosaur Jr.,,2,True
128,2001-06-08,Radio City Music Hall,New York,NY,Multi-Artist Show,,,Black Crowes; Oasis,2,True
129,2001-06-11,Giants Stadium,East Rutherford,NJ,,Dave Matthews Band,,,1,True
13,1995-12-01,Nassau Coliseum,Uniondale,NY,,Primus,Meat Puppets,,2,False
130,2001-06-12,Giants Stadium,East Rutherford,NJ,,Dave Matthews Band,,,1,True
131,2001-06-16,Jones Beach Theater,Wantagh,NY,,Aerosmith,Fuel,,2,True
132,2001-06-21,Izod Center,East Rutherford,NJ,,U2,,,1,True
133,2001-06-22,Madison Square Garden,New York,NY,,Eric Clapton,,,1,True
134,2001-06-23,Madison Square Garden,New York,NY,,Eric Clapton,,,1,True
135,2001-07-01,PNC Bank Arts Center,Holmdel,NJ,,Tom Petty & the Heartbreakers & Jackson Browne,,,1,False
136,2001-07-05,Jones Beach Theater,Wantagh,NY,,Tom Petty & the Heartbreakers & Jackson Browne,,,1,False
137,2001-07-20,PNC Bank Arts Center,Holmdel,NJ,Multi-Artist Show,,,Paul Simon; Brian Wilson,2,True
138,2001-07-21,PNC Bank Arts Center,Holmdel,NJ,,Stevie Nicks,,,1,True
139,2001-07-22,Hilton Atlantic City,Atlantic City,NJ,,Kenny Loggins,,,1,False
14,1996-02-16,Nassau Coliseum,Uniondale,NY,,Red Hot Chile Peppers,Silverchair,,2,False
140,2001-07-28,Giants Stadium,East Rutherford,NJ,,Bon Jovi,Eve6 and Sugar Ray,,2,True
141,2001-08-21,Jones Beach Theater,Wantagh,NY,,Allman Brothers Band,Susan Tedeschi,,2,True
142,2001-09-08,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,,,John Mellencamp; The Wallflowers,2,True
143,2001-10-01,Nassau Coliseum,Uniondale,NY,Multi-Artist Show,,,Joan Jett; the Blackhawks,2,False
144,2001-10-19,Count Basie Center for the Arts,Red Bank,NJ,Multi-Artist Show,,,Alliance for Neighbors concert (Bruce Springsteen; Bon Jovi; Joan Jett; John Eddie; Joe Ely; Sonny Burgess; Highway 9; Felix Cavaliere; Aztec Two Step; Phoebe Snow; DJ Fontana; Scotty Moore),12,False
145,2001-10-20,Madison Square Garden,New York,NY,Multi-Artist Show,,,Concert for New York (David Bowie; Bon Jovi; Goo Goo Dolls; Eric Clapton; Destiny's Child; Backstreet Boys; Elton John; Billy Joel; James Taylor; Paul McCartney; Melissa Etheridge; The Who; Mick Jagger/Keith Richards; John Mellencamp),14,True
146,2001-10-26,XL Center,Hartford,CT,,Stone Temple Pilots,"Staind, Linkin Park, Deadsy, Static X",,2,True
147,2001-10-27,Madison Square Garden,New York,NY,,U2,Stereophonics,,2,True
148,2001-11-27,Madison Square Garden,New York,NY,,Elton John,,,1,True
149,2001-12-04,Convention Hall,Asbury Park,NJ,,Bruce Springsteen,Max Weinberg 7 & Friends,,2,False
