Concert ID,Date,Venue,City,State,Festival Name,Artist Name,Artist ID,Artist Role,Artist Position,Has Setlist
282,2006-09-30,Yonkers,Yonkers,NY,Multi-Artist Show,Southside Johnny,525,festival_performer,1,False
282,2006-09-30,Yonkers,Yonkers,NY,Multi-Artist Show,the Asbury Jukes,659,festival_performer,2,False
283,2006-10-11,Radio City Music Hall,New York,NY,,James Blunt,261,headliner,1,True
284,2006-10-23,Stamford Center for the Arts,Stamford,CT,Multi-Artist Show,Ian Anderson,255,festival_performer,1,False
284,2006-10-23,Stamford Center for the Arts,Stamford,CT,Multi-Artist Show,Orchestra,410,festival_performer,2,False
285,2006-11-01,Nassau Coliseum,Uniondale,NY,,Elton John,189,headliner,1,True
286,2006-11-08,Paramount Hudson Valley Theater,Peekskill,NY,,Donovan,176,headliner,1,False
287,2006-11-24,Towne Crier Cafe,Beacon,NY,,Richie Havens,457,headliner,1,False
288,2006-11-28,Bridgeport,Bridgeport,CT,Multi-Artist Show,The Who,587,festival_performer,1,False
288,2006-11-28,Bridgeport,Bridgeport,CT,Multi-Artist Show,The Pretenders,666,festival_performer,2,False
289,2006-12-03,Beacon Theatre,New York,NY,,Aerosmith,10,headliner,1,True
29,1996-08-23,Jones Beach Theater,Wantagh,NY,,Melissa Etheridge,378,headliner,1,False
290,2007-01-25,Madison Square Garden,New York,NY,,Bob Seger & the Silver Bullet Band,65,headliner,1,True
291,2007-01-31,Radio City Music Hall,New York,NY,,Rock Star Supernova,477,headliner,1,False
291,2007-01-31,Radio City Music Hall,New York,NY,,"Dilana, Toby Rand and Dave Navarro",172,opener,2,False
292,2007-02-08,Madison Square Garden,New York,NY,,Rod Stewart,481,headliner,1,True
293,2007-03-14,Webster Hall,New York,NY,,Fab Faux,205,headliner,1,False
294,2007-03-24,Beacon Theatre,New York,NY,,Allman Brothers Band,20,headliner,1,True
295,2007-03-25,Madison Square Garden,New York,NY,,Elton John,189,headliner,1,True
296,2007-04-05,Beacon Theatre,New York,NY,,Allman Brothers Band,20,headliner,1,True
297,2007-04-17,MVP Arena,Albany,NY,,Billy Joel,48,headliner,1,True
298,2007-04-28,Madison Square Garden,New York,NY,,The Killers,575,headliner,1,True
299,2007-05-16,Paramount Hudson Valley Theater,Peekskill,NY,,Stephen Stills,534,headliner,1,False
3,1995-08-18,Jones Beach Theater,Wantagh,NY,,Diana Ross,168,headliner,1,False
30,1996-08-26,Jones Beach Theater,Wantagh,NY,,Neil Young,401,headliner,1,True
30,1996-08-26,Jones Beach Theater,Wantagh,NY,,Jewel,276,opener,2,True
300,2007-05-30,Madison Square Garden,New York,NY,,Roger Waters,485,headliner,1,True
301,2007-06-03,FDR State Park,Yorktown Heights,NY,,Richie Havens,457,headliner,1,False
302,2007-06-11,Beacon Theatre,New York,NY,,Steely Dan,531,headliner,1,True
303,2007-06-20,NYCB Theatre at Westbury,Westbury,NY,,Lynyrd Skynyrd,362,headliner,1,False
304,2007-06-29,Jones Beach Theater,Wantagh,NY,,Bob Dylan,61,headliner,1,True
305,2007-07-02,Jones Beach Theater,Wantagh,NY,,Rush,489,headliner,1,True
306,2007-07-07,Giants Stadium,East Rutherford,NJ,Multi-Artist Show,Live Earth (Dave Matthews Band,352,festival_performer,1,True
306,2007-07-07,Giants Stadium,East Rutherford,NJ,Multi-Artist Show,Roger Waters,485,festival_performer,2,True
306,2007-07-07,Giants Stadium,East Rutherford,NJ,Multi-Artist Show,The Police,580,festival_performer,3,True
306,2007-07-07,Giants Stadium,East Rutherford,NJ,Multi-Artist Show,Bon Jovi,71,festival_performer,4,True
306,2007-07-07,Giants Stadium,East Rutherford,NJ,Multi-Artist Show,Alicia Keys,14,festival_performer,5,True
306,2007-07-07,Giants Stadium,East Rutherford,NJ,Multi-Artist Show,John Mayer,301,festival_performer,6,True
306,2007-07-07,Giants Stadium,East Rutherford,NJ,Multi-Artist Show,Melissa Etheridge,378,festival_performer,7,True
306,2007-07-07,Giants Stadium,East Rutherford,NJ,Multi-Artist Show,Kanye West,313,festival_performer,8,True
306,2007-07-07,Giants Stadium,East Rutherford,NJ,Multi-Artist Show,Fall Out Boy),207,festival_performer,9,True
307,,Jones Beach Theater,Wantagh,NY,,ZZ Top,648,headliner,1,False
307,,Jones Beach Theater,Wantagh,NY,,The Pretenders and Stray Cats,582,opener,2,False
308,2007-07-28,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,Steve Miller Band,539,festival_performer,1,True
308,2007-07-28,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,The Doobie Brothers,177,festival_performer,2,True
309,2007-08-05,Giants Stadium,East Rutherford,NJ,,The Police,580,headliner,1,True
31,1996-08-31,Jones Beach Theater,Wantagh,NY,,Joe Cocker,282,headliner,1,False
31,1996-08-31,Jones Beach Theater,Wantagh,NY,,"The Radiators, Thunderbirds and Buddy Guy",583,opener,2,False
310,2007-08-09,Central Park,New York,NY,,Black Crowes,53,headliner,1,True
311,2007-08-21,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,Allman Brothers,19,festival_performer,1,True
311,2007-08-21,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,Ratdog,448,festival_performer,2,True
312,2007-09-07,Tarrytown Music Hall,Tarrytown,NY,,Roger McGuinn,484,headliner,1,False
313,2007-09-16,XL Center,Hartford,CT,,Genesis,227,headliner,1,True
314,2007-09-24,Paramount Theatre,Asbury Park,NJ,,Bruce Springsteen & the E Street Band,89,headliner,1,False
315,2007-09-28,Today Show Plaza at Rockefeller Center,New York,NY,,Bruce Springsteen & the E Street Band,89,headliner,1,False
316,2007-10-02,XL Center,Hartford,CT,,Bruce Springsteen & the E Street Band,89,headliner,1,False
317,2007-09-18,Madison Square Garden,New York,NY,,Jimmy Buffett,277,headliner,1,True
318,2007-10-10,Izod Center,East Rutherford,NJ,,Bruce Springsteen & the E Street Band,89,headliner,1,False
319,2007-10-17,Madison Square Garden,New York,NY,,Bruce Springsteen & the E Street Band,89,headliner,1,False
32,1996-12-15,Izod Center,East Rutherford,NJ,,Rush,489,headliner,1,True
320,2007-10-18,Madison Square Garden,New York,NY,,Bruce Springsteen & the E Street Band,89,headliner,1,False
321,2007-10-30,Prudential Center,Newark,NJ,,Bon Jovi,71,headliner,1,True
322,2007-11-02,Hammerstein Ballroom,New York,NY,,John Fogerty,293,headliner,1,True
323,2007-11-09,Chelsea Piers,New York,NY,,Bruce Springsteen,88,headliner,1,True
324,2007-11-13,Madison Square Garden,New York,NY,,Van Halen,620,headliner,1,True
325,2007-11-15,MVP Arena,Albany,NY,,Bruce Springsteen & the E Street Band,89,headliner,1,False
326,2007-11-17,Madison Square Garden,New York,NY,,Stevie Wonder,545,headliner,1,True
327,2007-12-01,Great South Bay Music Festival,Oakdale,NY,,Jethro Tull,275,headliner,1,True
328,2007-12-02,Ridgefield Playhouse,Ridgefield,CT,Multi-Artist Show,Sha Na Na,509,festival_performer,1,False
